gm102b,gm302b,gm502b,gm702b,time(sec)
3.88,3.84,3.81,2.2,429
3.87,3.84,3.81,2.19,430
3.87,3.84,3.8,2.2,431
3.88,3.84,3.8,2.21,432
3.89,3.85,3.81,2.24,433
3.89,3.85,3.81,2.25,434
3.91,3.85,3.82,2.25,435
3.9,3.86,3.83,2.26,436
3.9,3.85,3.83,2.25,437
3.9,3.86,3.83,2.26,438
3.89,3.85,3.83,2.24,439
3.88,3.84,3.83,2.22,440
3.86,3.84,3.82,2.2,441
3.86,3.84,3.82,2.19,442
3.87,3.84,3.81,2.2,443
3.87,3.84,3.81,2.19,444
3.88,3.84,3.8,2.19,445
3.87,3.84,3.8,2.17,446
3.86,3.83,3.8,2.18,447
3.87,3.84,3.79,2.19,448
3.88,3.84,3.79,2.2,449
3.88,3.84,3.8,2.21,450
3.87,3.84,3.8,2.2,451
3.86,3.83,3.8,2.19,452
3.86,3.83,3.79,2.19,453
3.87,3.83,3.79,2.19,454
3.87,3.83,3.79,2.2,455
3.87,3.83,3.79,2.2,456
3.87,3.83,3.8,2.2,457
3.87,3.83,3.8,2.21,458
3.88,3.84,3.8,2.22,459
3.88,3.84,3.8,2.22,460
3.88,3.84,3.8,2.21,461
3.88,3.84,3.8,2.21,462
3.88,3.84,3.81,2.21,463
3.89,3.84,3.81,2.21,464
3.88,3.84,3.81,2.22,465
3.89,3.84,3.81,2.22,466
3.88,3.84,3.81,2.22,467
3.88,3.84,3.81,2.22,468
3.88,3.84,3.81,2.22,469
3.87,3.84,3.81,2.22,470
3.87,3.84,3.81,2.21,471
3.87,3.84,3.81,2.2,472
3.87,3.83,3.8,2.2,473
3.88,3.84,3.81,2.2,474
3.88,3.84,3.8,2.22,475
3.88,3.84,3.81,2.21,476
3.88,3.84,3.81,2.21,477
3.89,3.84,3.81,2.22,478
3.89,3.85,3.81,2.23,479
3.9,3.85,3.81,2.24,480
3.91,3.85,3.82,2.25,481
3.9,3.85,3.82,2.25,482
3.9,3.85,3.83,2.24,483
3.9,3.86,3.83,2.25,484
3.91,3.86,3.83,2.26,485
3.91,3.86,3.84,2.26,486
3.91,3.87,3.83,2.26,487
3.9,3.86,3.83,2.23,488
3.89,3.85,3.82,2.2,489
3.87,3.85,3.82,2.18,490
3.87,3.85,3.81,2.21,491
3.88,3.84,3.81,2.22,492
3.87,3.84,3.81,2.21,493
3.86,3.83,3.81,2.19,494
3.86,3.83,3.8,2.18,495
3.87,3.84,3.8,2.19,496
3.88,3.84,3.8,2.22,497
3.89,3.84,3.81,2.25,498
3.9,3.85,3.82,2.25,499
3.9,3.85,3.82,2.24,500
3.88,3.84,3.82,2.23,501
3.87,3.84,3.82,2.21,502
3.87,3.83,3.81,2.18,503
3.86,3.84,3.8,2.17,504
3.87,3.84,3.8,2.18,505
3.88,3.84,3.8,2.21,506
3.88,3.84,3.8,2.21,507
3.88,3.84,3.8,2.21,508
3.88,3.84,3.8,2.21,509
3.88,3.84,3.81,2.22,510
3.88,3.84,3.81,2.22,511
3.88,3.84,3.81,2.22,512
3.88,3.85,3.81,2.23,513
3.88,3.85,3.81,2.23,514
3.88,3.84,3.81,2.22,515
3.88,3.84,3.82,2.21,516
3.88,3.85,3.81,2.22,517
3.88,3.84,3.81,2.22,518
3.88,3.84,3.81,2.22,519
3.88,3.84,3.81,2.22,520
3.88,3.84,3.81,2.22,521
3.88,3.84,3.81,2.22,522
3.87,3.83,3.81,2.19,523
3.86,3.83,3.81,2.18,524
3.87,3.83,3.8,2.19,525
3.88,3.84,3.8,2.21,526
3.88,3.83,3.8,2.2,527
3.87,3.83,3.8,2.17,528
3.86,3.83,3.8,2.17,529
3.86,3.83,3.79,2.19,530
3.87,3.83,3.79,2.19,531
3.87,3.83,3.79,2.19,532
3.87,3.83,3.79,2.19,533
3.88,3.84,3.8,2.2,534
3.88,3.84,3.8,2.2,535
3.87,3.84,3.8,2.2,536
3.87,3.83,3.8,2.2,537
3.87,3.83,3.8,2.21,538
3.86,3.83,3.8,2.2,539
3.86,3.83,3.8,2.2,540
3.86,3.83,3.8,2.2,541
3.87,3.83,3.8,2.2,542
3.87,3.83,3.8,2.2,543
3.86,3.83,3.8,2.2,544
3.86,3.83,3.8,2.2,545
3.87,3.83,3.8,2.21,546
3.87,3.83,3.8,2.2,547
3.87,3.83,3.8,2.19,548
3.86,3.83,3.8,2.19,549
3.86,3.83,3.8,2.19,550
3.86,3.83,3.79,2.19,551
3.86,3.82,3.79,2.19,552
3.87,3.83,3.8,2.18,553
3.87,3.83,3.8,2.18,554
3.87,3.83,3.8,2.17,555
3.86,3.83,3.79,2.17,556
3.86,3.83,3.79,2.16,557
3.86,3.83,3.79,2.17,558
3.87,3.83,3.78,2.18,559
3.87,3.83,3.79,2.2,560
3.89,3.84,3.8,2.22,561
3.89,3.84,3.8,2.22,562
3.87,3.83,3.8,2.19,563
3.87,3.83,3.8,2.19,564
3.87,3.83,3.8,2.2,565
3.87,3.83,3.79,2.2,566
3.87,3.83,3.8,2.2,567
3.86,3.83,3.79,2.19,568
3.87,3.83,3.8,2.19,569
3.87,3.83,3.79,2.19,570
3.87,3.84,3.8,2.2,571
3.88,3.83,3.79,2.2,572
3.88,3.84,3.79,2.2,573
3.88,3.84,3.8,2.2,574
3.87,3.84,3.8,2.19,575
3.87,3.84,3.79,2.19,576
3.86,3.83,3.79,2.18,577
3.86,3.83,3.79,2.18,578
3.85,3.82,3.79,2.17,579
3.85,3.82,3.79,2.18,580
3.85,3.82,3.78,2.18,581
3.86,3.83,3.79,2.19,582
3.87,3.83,3.79,2.19,583
3.87,3.83,3.79,2.2,584
3.87,3.83,3.79,2.2,585
3.87,3.83,3.8,2.21,586
3.88,3.84,3.8,2.22,587
3.9,3.85,3.8,2.24,588
3.9,3.85,3.81,2.24,589
3.89,3.84,3.82,2.24,590
3.88,3.84,3.82,2.23,591
3.88,3.84,3.82,2.22,592
3.88,3.84,3.82,2.22,593
3.87,3.84,3.81,2.21,594
3.87,3.84,3.81,2.21,595
3.87,3.84,3.81,2.21,596
3.88,3.84,3.81,2.21,597
3.88,3.84,3.81,2.22,598
3.87,3.84,3.81,2.2,599
3.86,3.82,3.8,2.18,600
3.84,3.82,3.79,2.15,601
3.84,3.82,3.79,2.16,602
3.86,3.82,3.78,2.18,603
3.87,3.83,3.79,2.2,604
3.88,3.83,3.79,2.2,605
3.87,3.84,3.8,2.2,606
3.88,3.84,3.8,2.2,607
3.89,3.84,3.8,2.22,608
3.89,3.84,3.8,2.22,609
3.89,3.85,3.81,2.22,610
3.88,3.84,3.81,2.2,611
3.88,3.84,3.81,2.21,612
3.89,3.85,3.81,2.22,613
3.88,3.84,3.81,2.22,614
3.88,3.84,3.8,2.21,615
3.88,3.84,3.8,2.21,616
3.88,3.84,3.81,2.22,617
3.88,3.85,3.81,2.22,618
3.89,3.85,3.81,2.24,619
3.89,3.85,3.81,2.24,620
3.89,3.85,3.82,2.23,621
3.89,3.85,3.82,2.24,622
3.89,3.85,3.82,2.23,623
3.89,3.85,3.82,2.22,624
3.88,3.84,3.81,2.22,625
3.88,3.84,3.82,2.21,626
3.87,3.84,3.81,2.2,627
3.88,3.84,3.8,2.21,628
3.88,3.84,3.81,2.21,629
3.87,3.84,3.8,2.2,630
3.87,3.84,3.8,2.2,631
3.87,3.84,3.8,2.19,632
3.88,3.84,3.8,2.19,633
3.88,3.84,3.79,2.2,634
3.88,3.84,3.8,2.21,635
3.89,3.85,3.8,2.22,636
3.89,3.84,3.81,2.22,637
3.88,3.84,3.81,2.21,638
3.86,3.83,3.8,2.18,639
3.85,3.82,3.8,2.16,640
3.86,3.83,3.8,2.17,641
3.87,3.83,3.79,2.2,642
3.87,3.84,3.8,2.21,643
3.88,3.84,3.8,2.2,644
3.87,3.83,3.8,2.19,645
3.87,3.83,3.79,2.19,646
3.88,3.84,3.8,2.21,647
3.88,3.84,3.8,2.21,648
3.88,3.84,3.8,2.21,649
3.87,3.83,3.8,2.19,650
3.86,3.83,3.8,2.17,651
3.85,3.82,3.79,2.15,652
3.84,3.82,3.79,2.14,653
3.84,3.82,3.78,2.15,654
3.86,3.82,3.78,2.17,655
3.87,3.83,3.78,2.19,656
3.88,3.83,3.79,2.21,657
3.88,3.84,3.79,2.21,658
3.88,3.83,3.8,2.21,659
3.87,3.83,3.8,2.21,660
3.87,3.84,3.8,2.2,661
3.87,3.84,3.8,2.21,662
3.88,3.84,3.8,2.21,663
3.89,3.85,3.8,2.23,664
3.9,3.85,3.81,2.24,665
3.9,3.85,3.81,2.24,666
3.88,3.85,3.81,2.21,667
3.87,3.84,3.81,2.2,668
3.87,3.83,3.81,2.19,669
3.87,3.84,3.8,2.19,670
3.87,3.84,3.8,2.2,671
3.87,3.84,3.8,2.2,672
3.87,3.84,3.8,2.2,673
3.88,3.84,3.8,2.2,674
3.88,3.84,3.8,2.21,675
3.88,3.84,3.8,2.21,676
3.87,3.84,3.8,2.21,677
3.87,3.84,3.8,2.21,678
3.87,3.84,3.81,2.21,679
3.88,3.84,3.8,2.21,680
3.87,3.84,3.8,2.21,681
3.87,3.84,3.8,2.2,682
