gm102b,gm302b,gm502b,gm702b,time(sec)
1.82,1.82,1.86,3.56,335
1.81,1.82,1.86,3.55,336
1.81,1.82,1.86,3.56,337
1.81,1.82,1.86,3.55,338
1.81,1.82,1.86,3.55,339
1.81,1.82,1.86,3.55,340
1.81,1.82,1.86,3.55,341
1.81,1.82,1.86,3.55,342
1.81,1.82,1.86,3.54,343
1.81,1.82,1.86,3.54,344
1.81,1.82,1.86,3.54,345
1.81,1.81,1.86,3.53,346
1.8,1.81,1.85,3.53,347
1.8,1.81,1.85,3.53,348
1.79,1.81,1.85,3.53,349
1.79,1.81,1.85,3.52,350
1.79,1.81,1.85,3.52,351
1.79,1.81,1.85,3.51,352
1.78,1.81,1.85,3.51,353
1.78,1.81,1.85,3.51,354
1.78,1.81,1.85,3.5,355
1.78,1.81,1.84,3.5,356
1.78,1.81,1.84,3.49,357
1.78,1.81,1.84,3.49,358
1.77,1.81,1.84,3.49,359
1.77,1.8,1.84,3.48,360
1.77,1.81,1.84,3.48,361
1.77,1.81,1.84,3.48,362
1.77,1.81,1.84,3.48,363
1.77,1.81,1.84,3.48,364
1.77,1.81,1.84,3.48,365
1.77,1.81,1.84,3.48,366
1.76,1.81,1.84,3.48,367
1.77,1.81,1.84,3.48,368
1.76,1.81,1.84,3.49,369
1.77,1.81,1.84,3.48,370
1.77,1.81,1.85,3.48,371
1.77,1.81,1.85,3.48,372
1.77,1.82,1.85,3.49,373
1.77,1.82,1.85,3.49,374
1.78,1.82,1.84,3.49,375
1.77,1.82,1.85,3.5,376
1.78,1.82,1.85,3.49,377
1.78,1.82,1.84,3.5,378
1.78,1.82,1.85,3.5,379
1.78,1.82,1.85,3.5,380
1.78,1.82,1.85,3.5,381
1.79,1.82,1.85,3.5,382
1.78,1.82,1.85,3.51,383
1.79,1.82,1.85,3.51,384
1.79,1.82,1.85,3.51,385
1.79,1.83,1.85,3.51,386
1.79,1.82,1.85,3.52,387
1.79,1.83,1.86,3.53,388
1.79,1.83,1.85,3.52,389
1.8,1.83,1.86,3.53,390
1.8,1.83,1.86,3.53,391
1.8,1.83,1.86,3.54,392
1.8,1.83,1.86,3.55,393
1.81,1.84,1.86,3.55,394
1.81,1.84,1.86,3.55,395
1.81,1.84,1.86,3.56,396
1.81,1.84,1.87,3.56,397
1.82,1.84,1.87,3.56,398
1.82,1.85,1.87,3.57,399
1.82,1.85,1.87,3.57,400
1.83,1.85,1.87,3.57,401
1.83,1.85,1.87,3.58,402
1.83,1.86,1.87,3.59,403
1.84,1.86,1.87,3.58,404
