gm102b,gm302b,gm502b,gm702b,time(sec)
3.08,3.02,3.02,2.71,619
3.08,3.02,3.02,2.71,620
3.08,3.02,3.02,2.71,621
3.08,3.02,3.02,2.71,622
3.09,3.02,3.02,2.71,623
3.09,3.02,3.02,2.72,624
3.09,3.02,3.02,2.72,625
3.09,3.02,3.02,2.72,626
3.09,3.02,3.02,2.73,627
3.09,3.03,3.02,2.72,628
3.1,3.03,3.02,2.73,629
3.1,3.03,3.03,2.73,630
3.1,3.03,3.03,2.72,631
3.1,3.02,3.02,2.72,632
3.09,3.02,3.02,2.72,633
3.09,3.02,3.02,2.72,634
3.09,3.02,3.02,2.72,635
3.08,3.02,3.02,2.71,636
3.08,3.02,3.02,2.7,637
3.07,3.01,3.02,2.7,638
3.07,3.01,3.02,2.69,639
3.06,3.01,3.02,2.69,640
3.06,3.01,3.01,2.68,641
3.06,3.01,3.01,2.68,642
3.07,3.02,3.01,2.69,643
3.07,3.02,3.01,2.7,644
3.08,3.02,3.02,2.7,645
3.08,3.02,3.02,2.7,646
3.08,3.02,3.02,2.71,647
3.07,3.02,3.02,2.7,648
3.07,3.02,3.02,2.7,649
3.07,3.02,3.02,2.69,650
3.07,3.02,3.02,2.69,651
3.08,3.03,3.02,2.7,652
3.08,3.03,3.02,2.69,653
3.09,3.03,3.02,2.7,654
3.09,3.03,3.02,2.69,655
3.08,3.03,3.02,2.69,656
3.09,3.03,3.02,2.7,657
3.08,3.02,3.02,2.7,658
3.08,3.02,3.02,2.69,659
3.07,3.02,3.02,2.69,660
3.07,3.02,3.01,2.68,661
3.07,3.02,3.01,2.69,662
3.08,3.02,3.02,2.7,663
3.09,3.03,3.02,2.7,664
3.09,3.03,3.02,2.71,665
3.1,3.03,3.02,2.7,666
3.09,3.03,3.02,2.7,667
3.09,3.03,3.02,2.7,668
3.1,3.03,3.02,2.69,669
3.09,3.03,3.02,2.69,670
3.09,3.03,3.02,2.69,671
3.09,3.03,3.02,2.69,672
3.08,3.03,3.02,2.69,673
3.08,3.03,3.02,2.69,674
3.08,3.02,3.02,2.69,675
3.07,3.02,3.01,2.69,676
3.06,3.01,3.01,2.68,677
3.06,3.01,3.01,2.68,678
3.06,3.01,3.01,2.67,679
3.05,3.01,3.01,2.67,680
3.05,3.01,3,2.67,681
3.05,3.01,3.01,2.67,682
3.06,3.01,3.01,2.68,683
3.07,3.02,3.01,2.69,684
3.08,3.02,3.01,2.69,685
3.08,3.02,3.01,2.7,686
3.08,3.02,3.01,2.7,687
3.08,3.02,3.02,2.71,688
3.09,3.02,3.02,2.7,689
3.07,3.02,3.02,2.69,690
3.06,3.01,3.01,2.68,691
3.05,3.01,3.01,2.67,692
3.05,3,3.01,2.66,693
3.04,3,3,2.64,694
3.04,3,3,2.64,695
3.04,3,3,2.64,696
3.04,3,3,2.65,697
3.05,3,3,2.66,698
3.05,3,3,2.66,699
3.06,3,3,2.67,700
3.06,3,3,2.67,701
3.06,3,3,2.68,702
3.06,3.01,3,2.68,703
3.07,3.01,3,2.68,704
3.06,3.01,3.01,2.68,705
3.06,3.01,3.01,2.68,706
3.06,3,3,2.68,707
3.06,3.01,3.01,2.68,708
3.06,3.01,3.01,2.68,709
3.06,3.01,3.01,2.68,710
3.07,3.01,3.01,2.68,711
3.08,3.02,3.01,2.69,712
3.08,3.02,3.01,2.7,713
3.09,3.02,3.01,2.7,714
3.08,3.02,3.01,2.7,715
3.08,3.02,3.01,2.69,716
3.08,3.02,3.02,2.69,717
3.08,3.01,3.01,2.69,718
3.08,3.02,3.02,2.69,719
3.09,3.02,3.02,2.7,720
3.09,3.02,3.02,2.69,721
3.08,3.02,3.01,2.68,722
3.08,3.02,3.01,2.69,723
3.07,3.01,3.01,2.67,724
3.05,3.01,3.01,2.65,725
3.04,3.01,3.01,2.65,726
3.06,3.01,3.01,2.66,727
3.07,3.02,3,2.66,728
3.08,3.02,3,2.66,729
3.09,3.02,3.01,2.67,730
3.09,3.02,3,2.67,731
3.09,3.02,3.01,2.68,732
3.09,3.02,3.01,2.68,733
3.09,3.02,3.01,2.69,734
3.09,3.02,3.01,2.69,735
3.09,3.03,3.01,2.69,736
3.1,3.03,3.01,2.69,737
3.1,3.03,3.01,2.69,738
3.11,3.03,3.01,2.69,739
3.11,3.03,3.01,2.69,740
3.11,3.03,3.02,2.69,741
3.11,3.03,3.01,2.68,742
3.11,3.04,3.02,2.68,743
3.11,3.04,3.01,2.69,744
3.11,3.03,3.01,2.69,745
3.11,3.03,3.02,2.69,746
3.1,3.03,3.02,2.69,747
3.1,3.03,3.02,2.68,748
3.09,3.03,3.01,2.69,749
3.09,3.03,3.01,2.69,750
3.09,3.04,3.01,2.7,751
3.1,3.04,3.01,2.69,752
3.1,3.03,3.01,2.69,753
3.1,3.03,3.01,2.68,754
3.09,3.03,3.01,2.68,755
3.1,3.03,3.01,2.69,756
3.09,3.03,3.01,2.69,757
3.09,3.03,3.01,2.69,758
3.09,3.03,3.01,2.69,759
3.09,3.03,3.02,2.69,760
3.09,3.03,3.02,2.69,761
3.09,3.03,3.01,2.69,762
3.08,3.02,3.01,2.69,763
3.08,3.02,3.01,2.68,764
3.08,3.02,3.01,2.68,765
3.08,3.03,3.01,2.69,766
3.08,3.02,3.01,2.68,767
3.08,3.02,3.01,2.68,768
3.07,3.02,3.01,2.67,769
3.07,3.02,3.01,2.66,770
3.07,3.02,3,2.66,771
3.08,3.02,3,2.66,772
3.08,3.02,3.01,2.67,773
3.09,3.03,3.01,2.67,774
3.09,3.03,3.01,2.68,775
3.09,3.03,3.01,2.69,776
3.09,3.03,3.01,2.68,777
3.09,3.03,3.01,2.68,778
3.09,3.02,3.01,2.68,779
3.09,3.02,3.01,2.68,780
3.08,3.02,3.01,2.69,781
3.09,3.02,3.01,2.68,782
3.08,3.02,3.01,2.68,783
