gm102b,gm302b,gm502b,gm702b,time(sec)
3.14,3.14,3.1,1.49,322
3.14,3.14,3.1,1.48,323
3.14,3.14,3.1,1.49,324
3.14,3.15,3.1,1.49,325
3.14,3.15,3.11,1.49,326
3.14,3.15,3.11,1.49,327
3.15,3.15,3.11,1.49,328
3.15,3.15,3.11,1.49,329
3.15,3.16,3.11,1.49,330
3.15,3.16,3.11,1.49,331
3.15,3.16,3.11,1.49,332
3.15,3.16,3.11,1.49,333
3.15,3.16,3.11,1.49,334
3.15,3.16,3.11,1.49,335
3.15,3.16,3.11,1.49,336
3.15,3.16,3.11,1.48,337
3.15,3.16,3.11,1.48,338
3.15,3.16,3.1,1.48,339
3.14,3.16,3.1,1.48,340
3.14,3.16,3.1,1.48,341
3.14,3.16,3.1,1.48,342
3.15,3.16,3.11,1.48,343
3.15,3.16,3.1,1.49,344
3.15,3.16,3.1,1.49,345
3.15,3.16,3.1,1.48,346
3.15,3.16,3.1,1.48,347
3.14,3.16,3.1,1.48,348
3.14,3.16,3.1,1.48,349
3.14,3.16,3.1,1.48,350
3.14,3.16,3.1,1.48,351
3.14,3.16,3.1,1.48,352
3.15,3.16,3.1,1.48,353
3.15,3.16,3.1,1.48,354
3.15,3.16,3.11,1.49,355
3.15,3.17,3.1,1.48,356
3.15,3.17,3.1,1.49,357
3.15,3.17,3.11,1.48,358
3.15,3.17,3.1,1.48,359
3.15,3.17,3.1,1.49,360
3.15,3.17,3.1,1.49,361
3.15,3.17,3.11,1.48,362
3.15,3.17,3.1,1.48,363
3.15,3.17,3.11,1.49,364
3.15,3.17,3.11,1.49,365
3.15,3.17,3.1,1.48,366
3.15,3.17,3.11,1.48,367
3.15,3.17,3.11,1.49,368
3.15,3.17,3.11,1.49,369
3.16,3.17,3.11,1.49,370
3.15,3.17,3.11,1.49,371
3.16,3.18,3.11,1.49,372
3.16,3.17,3.11,1.49,373
3.15,3.17,3.11,1.49,374
3.16,3.18,3.11,1.49,375
3.16,3.18,3.11,1.49,376
3.15,3.18,3.12,1.49,377
3.16,3.18,3.11,1.49,378
3.15,3.18,3.11,1.49,379
3.15,3.18,3.11,1.49,380
3.16,3.18,3.11,1.49,381
3.16,3.18,3.12,1.49,382
3.16,3.18,3.12,1.49,383
3.16,3.18,3.12,1.49,384
3.16,3.18,3.11,1.49,385
3.16,3.18,3.12,1.49,386
3.16,3.18,3.12,1.5,387
3.16,3.18,3.12,1.49,388
3.16,3.18,3.12,1.49,389
3.16,3.19,3.12,1.49,390
3.16,3.19,3.12,1.5,391
3.16,3.19,3.12,1.49,392
3.16,3.19,3.12,1.5,393
3.16,3.19,3.12,1.5,394
3.16,3.19,3.12,1.49,395
3.16,3.19,3.12,1.5,396
3.16,3.19,3.13,1.5,397
3.16,3.19,3.12,1.5,398
3.16,3.18,3.12,1.49,399
3.16,3.19,3.13,1.5,400
3.16,3.19,3.12,1.5,401
